question,answer,ground_truth,faithfulness,answer_relevance,context_precision
Apa syarat penerbitan kembali KK karena rusak atau hilang?,"Selamat datang di Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat penerbitan kembali KK karena rusak atau hilang.

Berdasarkan informasi yang tersedia, syarat penerbitan kembali KK karena rusak atau hilang adalah sebagai berikut:

1. Fotokopi KTP & KK DKI Jakarta
2. Asli Surat Kehilangan dari Kepolisian (bagi yang hilang)
3. Fotokopi Kutipan Akta (bagi yang hilang)
4. Asli Kutipan Akta (bagi yang rusak)
5. Surat Pernyataan Alasan Pembaharuan
6. Surat Kuasa Bermeterai jika diwakilkan dan Fotokopi KTP yang diberi Kuasa

Silakan mengajukan permohonan daring melalui alamat https://alpukat-dukcapil.jakarta.go.id/ untuk mendapatkan informasi lebih lanjut dan melakukan proses penerbitan kembali KK.","Surat keterangan hilang dari kepolisian (jika hilang) atau membawa KK yang rusak (jika rusak), serta KTP-el.",0.4,0.8,0.6
Apa saja persyaratan dokumen untuk melakukan pindah datang ke DKI Jakarta?,"Selamat datang di Dukcapil DKI Jakarta. Saya senang membantu Anda dalam mencari informasi tentang persyaratan dokumen untuk melakukan pindah datang ke DKI Jakarta.

Dalam konteks dokumen yang disediakan, persyaratan dokumen untuk melakukan pindah datang ke DKI Jakarta adalah sebagai berikut:

1. Surat Keterangan Pindah dari daerah asal;
2. Biodata Penduduk;
3. Surat Pernyataan Jaminan Tempat Tinggal dari Pemilik Rumah/Pengelola Rusun/Pengelola Apartemen (jika menumpang);
4. KK dan KTP Penjamin (jika menumpang);
5. Fotokopi Akta Kelahiran;
6. Fotokopi Akta Perkawinan/Surat Nikah atau akta perceraian (bagi yang berstatus kawin atau cerai hidup).

Namun, perlu diingat bahwa persyaratan No. 5 dan 6 tidak diperlukan jika biodata penduduk sudah terisi lengkap dan benar. Jika pemohon belum memiliki akta kelahiran, maka akan memperoleh pelayanan pembuatan Akta Kelahiran.

Demikian informasi yang dapat saya berikan. Jika Anda memiliki pertanyaan lain, silakan bertanya.","Surat Keterangan Pindah dari daerah asal, Biodata Penduduk, Surat Pernyataan Jaminan Tempat Tinggal dari Pemilik Rumah/Pengelola Rusun/Apartemen jika menumpang, KK dan KTP Penjamin jika menumpang, fotokopi Akta Kelahiran, serta fotokopi Akta Perkawinan/Surat Nikah atau akta perceraian jika berstatus kawin/cerai hidup.",0.8,1.0,0.9
Bagaimana prosedur pengurusan pindah datang di Kelurahan tujuan?,"Selamat datang di Dukcapil DKI Jakarta. Saya dapat membantu Anda mengenai prosedur pengurusan pindah datang di Kelurahan tujuan.

Untuk pengurusan pindah datang, Anda perlu mengikuti langkah-langkah berikut:

1. Pemohon mengambil nomor antrian di Loket Dukcapil Kelurahan.
2. Pemohon menyerahkan berkas lengkap ke Loket Dukcapil, yaitu:
 * Surat Keterangan Pindah dari daerah asal;
 * Biodata Penduduk;
 * Surat Pernyataan Jaminan Tempat Tinggal dari Pemilik Rumah/Pengelola Rusun/Pengelola Apartemen (jika menumpang);
 * KK dan KTP Penjamin (jika menumpang);
 * Fotokopi Akta Kelahiran;
 * Fotokopi Akta Perkawinan/Surat Nikah atau akta perceraian (bagi yang berstatus kawin atau cerai hidup).
3. Petugas menerima berkas dan melakukan verifikasi berkas.
4. Petugas menyerahkan bukti permohonan kepada Pemohon.
5. Petugas memproses pengantar Surat Keterangan Pindah datang.
6. Petugas menyerahkan pengantar Surat Keterangan Pindah datang kepada Pemohon.
7. Petugas mengajukan proses Surat Keterangan Pindah Datang ke Sudin.

Perlu diingat bahwa prosedur di atas dapat berubah-ubah, sehingga saya sarankan Anda untuk menghubungi Dukcapil DKI Jakarta untuk memastikan informasi yang akurat dan terbaru.

Saya berharap informasi ini dapat membantu Anda. Jika Anda memiliki pertanyaan lain, silakan bertanya.","Pemohon mengambil nomor antrian di Loket Dukcapil Kelurahan, menyerahkan berkas lengkap, petugas memproses verifikasi dan memberikan bukti permohonan, memproses pengantar Surat Keterangan Pindah datang, lalu petugas mengajukan proses ke Sudin Dukcapil untuk memproses KK dan KTP baru.",0.8,1.0,0.7
Apa saja persyaratan pencatatan kelahiran WNI yang terintegrasi dengan faskes?,"Dengan hormat, saya dapat memberikan informasi tentang persyaratan pencatatan kelahiran WNI yang terintegrasi dengan faskes.

Menurut informasi yang tersedia, persyaratan pencatatan kelahiran WNI yang terintegrasi dengan faskes adalah sebagai berikut:

1. Surat Keterangan Kelahiran dari Puskesmas/Bidan/Rumah Sakit/Penolong Kelahiran/Kelurahan atau SPTJM;
2. KK orang tua;
3. Fotokopi KTP orang tua;
4. Fotokopi Surat Nikah orang tua atau SPTJM;
5. Fotokopi KTP 2 orang Saksi.

Selain itu, juga perlu diperhatikan bahwa bayi yang dilaporkan kelahirannya akan terdaftar dalam Kartu Keluarga dan diberi Nomor Induk Kependudukan (NIK) sebagai dasar untuk memperoleh pelayanan masyarakat lainnya.

Jika Anda memiliki pertanyaan lain atau memerlukan informasi lebih lanjut, silakan bertanya. Saya akan senang membantu.","Surat Keterangan peristiwa kelahiran, fotokopi Surat Nikah/Akta Perkawinan orang tua atau SPTJM, serta fotokopi KK dan KTP-el orang tua.",0.6,1.0,0.8
Siapa nama Kepala Dinas Kependudukan dan Pencatatan Sipil Provinsi DKI Jakarta saat ini?,"Dengan hormat, saya dapat memberikan informasi yang akurat mengenai Kepala Dinas Kependudukan dan Pencatatan Sipil Provinsi DKI Jakarta saat ini.

Menurut informasi yang tersedia, Kepala Dinas Kependudukan dan Pencatatan Sipil Provinsi DKI Jakarta saat ini adalah Denny Wahyu Haryanto. Beliau memiliki pengalaman yang luas di bidang administrasi dan pelayanan publik, serta telah mengabdi dalam pemerintahan selama lebih dari tiga dekade.

Saya berharap informasi ini dapat membantu Anda. Jika Anda memiliki pertanyaan lain, silakan bertanya.",Denny Wahyu Haryanto.,1.0,1.0,0.5
Apa saja syarat untuk melakukan pencatatan perkawinan bagi sesama WNI?,"Selamat datang di Dukcapil DKI Jakarta. Saya senang membantu Anda mengetahui syarat-syarat untuk melakukan pencatatan perkawinan bagi sesama WNI.

Berikut adalah syarat-syarat yang diperlukan:

1. Surat Pemberkatan Perkawinan dari Pemuka Agama
2. Identitas Mempelai:
 * Kartu Tanda Penduduk (KTP) dan Kartu Keluarga (KK)
3. Pas foto berwarna ukuran 4×6 berpasangan 2 lembar
4. Akta Perceraian/Kematian, jika pernah Kawin/Cerai
5. Dokumen Perjalanan/Paspor
6. Identitas 2 Orang Saksi
7. Kutipan Akta Kelahiran Anak Sah/Diakui, jika ada Anak yang lahir setelah Pemberkatan
8. Akta Perjanjian Perkawinan dari Notaris Indonesia, bagi pasangan dengan Perjanjian Perkawinan

Permohonan daring dapat diajukan melalui https://s.id/kawin_dukcapiljkt.

Perlu diingat bahwa jika Anda diwakilkan, Anda harus melampirkan Surat Kuasa Bermeterai dan Fotokopi KTP yang diberi Kuasa.

Jika Anda memiliki pertanyaan lain, silakan bertanya. Saya akan senang membantu.","Fotokopi surat keterangan telah terjadinya perkawinan dari pemuka agama atau penghayat kepercayaan terhadap Tuhan YME, pas foto berwarna suami dan istri berdampingan ukuran 4x6 sebanyak 2 lembar, KTP-el dan KK asli, serta fotokopi akta perceraian/akta kematian jika berstatus cerai.",0.4,1.0,0.6
Apa syarat melakukan pencatatan perceraian bagi penduduk WNI?,"Selamat datang di Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat melakukan pencatatan perceraian bagi penduduk WNI.

Berdasarkan informasi yang tersedia, syarat melakukan pencatatan perceraian bagi penduduk WNI adalah sebagai berikut:

1. Akta Perceraian yang telah berkekuatan hukum tetap.
2. Pengantar dari Panitera (PN/PT/MA).
3. Asli Kutipan Akta Perkawinan.
4. Identitas Mantan Suami dan Istri, yaitu:
 - Kartu Tanda Penduduk (KTP) dan Kartu Keluarga (KK) bagi WNI.
5. Dokumen Perjalanan/Paspor.

Jika Anda ingin melakukan pencatatan perceraian secara daring, Anda dapat mengunjungi website https://s.id/kacerwna dan mengikuti prosedur yang telah ditentukan.

Perlu diingat bahwa syarat-syarat di atas dapat berubah-ubah, sehingga saya sarankan Anda untuk mengunjungi website resmi Dukcapil DKI Jakarta atau menghubungi kami langsung untuk mendapatkan informasi yang lebih akurat dan terkini.","Fotokopi salinan putusan pengadilan yang telah mempunyai kekuatan hukum tetap, kutipan akta perkawinan asli, KTP-el asli, dan KK asli.",0.6,1.0,0.8
Bagaimana syarat menerbitkan kembali kutipan akta pencatatan sipil yang rusak atau hilang?,"Selamat datang di Dukcapil DKI Jakarta. Saya dapat membantu Anda mengetahui syarat menerbitkan kembali kutipan akta pencatatan sipil yang rusak atau hilang.

Untuk menerbitkan kembali kutipan akta pencatatan sipil yang rusak atau hilang, Anda perlu memenuhi syarat-syarat sebagai berikut:

1. Fotokopi KTP dan KK DKI Jakarta
2. Asli Surat Kehilangan dari Kepolisian (bagi yang hilang)
3. Fotokopi Kutipan Akta (bagi yang hilang)
4. Asli Kutipan Akta (bagi yang rusak)
5. Surat Pernyataan Alasan Pembaharuan

Jika Anda diwakilkan, Anda perlu menambahkan Surat Kuasa Bermeterai dan Fotokopi KTP yang diberi Kuasa.

Permohonan daring dapat diajukan melalui alamat https://alpukat-dukcapil.jakarta.go.id/.","Surat pernyataan rusak/hilang dari yang bersangkutan atau Surat keterangan kehilangan dari Kepolisian setempat, fotokopi kutipan Akta Pencatatan Sipil yang hilang atau kutipan akta asli yang rusak, serta fotokopi KK dan KTP-el.",0.6,1.0,0.8
Berapa batas maksimal lembar fotokopi dokumen kependudukan untuk proses legalisasi?,"Dalam proses legalisasi dokumen kependudukan, batas maksimal lembar fotokopi dokumen kependudukan yang dapat diterima adalah 11 lembar.",Maksimal 11 lembar fotokopi.,1.0,1.0,1.0
Melalui situs web apa permohonan daring dokumen administrasi kependudukan dkk Jakarta diajukan?,"Selamat datang! Saya adalah Virtual Assistant resmi Dukcapil DKI Jakarta. Untuk permohonan daring dokumen administrasi kependudukan, Anda dapat mengajukan permohonan melalui situs web https://alpukat-dukcapil.jakarta.go.id/.",Melalui website resmi alpukat-dukcapil.jakarta.go.id.,1.0,1.0,0.8
